date,year,month,direction,hs6,tw_name,en_name,category,country,is_china,value_kusd
2020-01-01,2020,1,E,250410,天然石墨（粉末）,Natural Graphite (powder/flakes),負極材料 (Anode Materials),印尼,False,2
2020-01-01,2020,1,E,250410,天然石墨（粉末）,Natural Graphite (powder/flakes),負極材料 (Anode Materials),越南,False,2
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),中國大陸,True,527
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),南韓,False,15
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),印尼,False,601
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),孟加拉,False,61
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),新加坡,False,8
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),泰國,False,898
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),緬甸,False,222
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),菲律賓,False,359
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),西班牙,False,22
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),越南,False,762
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),香港,False,26
2020-01-01,2020,1,E,280300,炭黑,Carbon Black,負極材料 (Anode Materials),馬來西亞,False,6
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),中國大陸,True,106
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),南韓,False,155
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),印尼,False,17
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),印度,False,1
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),孟加拉,False,10
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),日本,False,94
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),澳大利亞,False,3
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),越南,False,34
2020-01-01,2020,1,E,281820,氧化鋁（非人工剛玉）,Aluminum Oxide (excl. artificial corundum),金屬原料 (Metals & Minerals),馬來西亞,False,52
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),中國大陸,True,4
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),印尼,False,3
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),印度,False,0
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),日本,False,145
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),泰國,False,3
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),荷蘭,False,19
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),越南,False,49
2020-01-01,2020,1,E,283329,其他硫酸鹽（鈷／錳）,Other Sulphates (Co/Mn),正極材料 (Cathode Materials),馬來西亞,False,5
2020-01-01,2020,1,E,380110,人造石墨,Artificial Graphite,負極材料 (Anode Materials),中國大陸,True,847
2020-01-01,2020,1,E,380110,人造石墨,Artificial Graphite,負極材料 (Anode Materials),日本,False,8
2020-01-01,2020,1,E,380110,人造石墨,Artificial Graphite,負極材料 (Anode Materials),香港,False,1
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),中國大陸,True,16085
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),以色列,False,216
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),其他國家,False,70
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),加拿大,False,3
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),匈牙利,False,23
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),千里達及托巴哥,False,5
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),南非,False,99
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),南韓,False,4395
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),印尼,False,1857
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),印度,False,2082
2020-01-01,2020,1,E,382499,其他未列名化學品,Other Chemical Products (electrolyte precursors),電解液與功能化學品 (Electrolyte & Functional Chemicals),吉布地,False,1
